stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,stop_street,stop_city,stop_region,stop_postcode,stop_country,location_type,parent_station,stop_timezone,wheelchair_boarding,direction,position,the_geom
6309,175 Dawson Rd,,-36.97906,174.89922,,,6309,,,,,,0,31810,,,,,0101000020E6100000187D0569C6DC65402F698CD6517D42C0
6308,Opp 23 Aspiring Ave,,-36.98454,174.90027,,,6308,,,,,,0,31813,,,,,0101000020E61000003DF20703CFDC65404BCD1E68057E42C0
6305,Ti Rakau Dr opp Botany Town Centre,,-36.92922,174.915,,,6305,,,,,,0,31701,,,,,0101000020E6100000E17A14AE47DD6540026553AEF07642C0
6304,22 Matthews Rd,,-36.98312,174.90154,,,6304,,,,,,0,31812,,,,,0101000020E610000026016A6AD9DC654092054CE0D67D42C0
6307,163 Dawson Rd,,-36.97777,174.89699,,,6307,,,,,,0,31809,,,,,0101000020E6100000D95A5F24B4DC654045813E91277D42C0
51488,Massey Rd/Plumley Cr,,-36.97614,174.80054,,,51488,,,,,,1,,,,,,0101000020E61000007AE40F069ED96540A228D027F27C42C0
6300,Opp 33 Macleans Rd,,-36.88191,174.91384,,,6300,,,,,,0,31589,,,,,0101000020E6100000DA38622D3EDD6540F701486DE27042C0
6303,Opp 95 Smales Rd,,-36.94174,174.90659,,,6303,,,,,,0,31723,,,,,0101000020E61000002E1C08C902DD6540E3AAB2EF8A7842C0
6302,170 Favona Rd,,-36.94882,174.81587,,,6302,,,,,,0,51413,,,,,0101000020E610000033F9669B1BDA654036E50AEF727942C0
2200,International Airport Arrivals SkyBus,,-37.0044,174.78254,,,2200,,,,,,0,51473,,,,,0101000020E6100000FB7953910AD965401B0DE02D908042C0
10136,Seymour Rd/Sunnyvale Station,,-36.89938,174.63133,,,10136,,,,,,1,,,,,,0101000020E61000007ADFF8DA33D46540975643E21E7342C0
2201,23 Carruth Rd,,-36.97914,174.861,,,2201,,,,,,0,31866,,,,,0101000020E6100000643BDF4F8DDB65404C1AA375547D42C0
2202,178 Bradbury Rd,,-36.91184,174.90859,,,2202,,,,,,0,31644,,,,,0101000020E610000020EF552B13DD6540A297512CB77442C0
2204,70 Browns Rd,,-37.01212,174.88219,,,2204,,,,,,0,51211,,,,,0101000020E610000077DB85E63ADC654053D0ED258D8142C0
