route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,id
24303-20170807091914_v56.25,243,New Lynn to City Centre via Sandringham Rd,3,NZBML,,,,,233
06257-20170724124507_v56.18,062,Takapuna To Takapuna Grammar,3,NZBNS,,,,,234
00352-20170807091914_v56.25,003,Epsom Schools To St Heliers Via Glendowie,3,NZBML,,,,,235
11101-20170724124507_v56.18,111,Royal Heights Loop,3,PC,,,,,236
91503-20170807091914_v56.25,915,Bayview To Takapuna,3,BTL,,,,,237
01566-20170724124507_v56.18,015,Avondale College to Glendene,3,NZBGW,,,,,238
79801-20170807091914_v56.25,INN,Inner Link Anticlockwise,3,NZBML,,,,,239
08754-20170807091914_v56.25,087,Te Huruhi School To Oneroa,3,WBC,,,,,240
88104-20170807091914_v56.25,881,Newmarket To Albany Station,3,NZBNS,,,,,241
00251-20170724124507_v56.18,002,Hatfields Beach To Orewa Schools,3,BAYES,,,,,242
63501-20170724124507_v56.18,635,Glen Innes To Britomart Via Grand Dr And Parnell,3,NZBML,,,,,243
06151-20170807091914_v56.25,061,Albany Heights To Albany Schools,3,RTH,,,,,244
01060-20170724124507_v56.18,010,Kingsway School To Greenhithe,3,BAYES,,,,,245
04551-20170724124507_v56.18,045,Orewa To Westlake Schools,3,NZBNS,,,,,246
80305-20170807091914_v56.25,803,Bayswater Wharf To Takapuna,3,RTH,,,,,247
16101-20170724124507_v56.18,161,Brains Park to New Lynn,3,RTH,,,,,248
35302-20170724124507_v56.18,353,Botany Town Centre To Manukau Station Via Preston Rd,3,HE,,,,,249
00701-20170807091914_v56.25,007,Glen Innes To Pt Chevalier,3,NZBML,,,,,250
96604-20170724124507_v56.18,966,Newmarket To Highbury,3,BTL,,,,,251
01152-20170807091914_v56.25,011,Baradene College To Bucklands Beach,3,HE,,,,,252
02555-20170807091914_v56.25,025,Wood Bay to Glen Eden Intermediate,3,RTH,,,,,253
01761-20170724124507_v56.18,017,Silverdale To Whangaparaoa College,3,BAYES,,,,,254
91506-20170724124507_v56.18,915,Takapuna To Glenfield,3,BTL,,,,,255
01251-20170807091914_v56.25,012,Britomart To St Marys College,3,NZBML,,,,,256
01251-20170724124507_v56.18,012,Britomart To St Marys College,3,NZBML,,,,,257
20904-20170807091914_v56.25,209,City Centre to Titirangi via New North Rd and Green Bay,3,RTH,,,,,258
31402-20170807091914_v56.25,314,Papatoetoe Station To Ormiston Via Otara,3,GBT,,,,,259
06258-20170724124507_v56.18,062,Albany Primary To Unsworth,3,RTH,,,,,260
01461-20170807091914_v56.25,014,Manly To KingsWay School,3,BAYES,,,,,261
08952-20170724124507_v56.18,089,Sancta Maria College To Botany Downs,3,HE,,,,,262
00362-20170724124507_v56.18,003,Alfriston Sch to Flat Bush and Alfrsiton Col to Takanini,3,RTH,,,,,263
24303-20170724124507_v56.18,243,New Lynn to City Centre via Sandringham Rd,3,NZBML,,,,,264
12203-20170807091914_v56.25,122,Huapai to Westgate,3,NZBGW,,,,,265
32103-20170807091914_v56.25,321,Middlemore Station to Ellerslie Station via Otahuhu,3,NZBML,,,,,266
05251-20170807091914_v56.25,052,Wairau Valley To Westlake Schools Via Sunnynook,3,NZBNS,,,,,267
29902-20170724124507_v56.18,299,City Centre To Lynfield Via Waikowhai,3,NZBML,,,,,268
10232-20170724124507_v56.18,WEST,Britomart Train Station to Swanson Train Station,2,AM,,,,,269
12901-20170724124507_v56.18,129,Westgate to City Centre via Don Buck Rd,3,NZBGW,,,,,270
00906-20170807091914_v56.25,009,New Lynn To Sylvia Park Via Blockhouse Bay Shops,3,PC,,,,,271
22108-20170724124507_v56.18,221X,City Centre to Rosebank Rd via New North Rd Express,3,NZBGW,,,,,272
98601-20170807091914_v56.25,986,"HC Station to Albany Station via Dairy Flat Highway, Massey",3,NZBNS,,,,,273
02651-20170724124507_v56.18,026,Papatoetoe Town Hall To Papatoetoe Intermediate,3,GBT,,,,,274
08452-20170807091914_v56.25,084,Belmont Intermediate To Devonport,3,RTH,,,,,275
02654-20170807091914_v56.25,026,Westlake Girls To Pinehill,3,NZBNS,,,,,276
30904-20170724124507_v56.18,309X,City Centre To Mangere Town Centre Express,3,GBT,,,,,277
50101-20170724124507_v56.18,501,Cockle Bay To Britomart Via Botany Town Centre,3,HE,,,,,278
00180-20170724124507_v56.18,001,Hobsonville Primary School to Massey West,3,PC,,,,,279
04652-20170807091914_v56.25,046,Carmel College And Westlake Girls To Glenfield,3,NZBNS,,,,,280
22307-20170807091914_v56.25,223X,New Lynn to City Centre via New North Rd Express,3,NZBGW,,,,,281
06552-20170807091914_v56.25,065,One Tree Hill College To Bailey Rd Via Ruawai Rd,3,NZBML,,,,,282
01257-20170807091914_v56.25,012,Beach Haven To Northcote Schools and Takapuna,3,BTL,,,,,283
98801-20170807091914_v56.25,988,Gulf Harbour Ferry to The Plaza via Shakespear Regional Park,3,NZBNS,,,,,284
39502-20170724124507_v56.18,395,Papakura Interchange To Waiuku,3,RTH,,,,,285
71505-20170724124507_v56.18,715,Eastridge to Britomart,3,NZBML,,,,,286
01954-20170807091914_v56.25,019,Remuera Primary To Ellerslie,3,NZBML,,,,,287
